Name	Max Acc	A. Samples in UTH	erster UTH	letzter UTH	Min Acc	A. Samples in LTH	erster LTH	letzter LTH	Max GyVel	A. Samples in UGV	erster UGV	letzter UGV	Fall	Fallbereich	Fallbereich	
15_02_2023__09_28_46_sitzen_gehen_sitzen_1	24,71	0	0	0	6,28	0	0	0	286	0	0	0	0	0	0	 
15_02_2023__09_31_03_sitzen_gehen_sitzen_2	25,72	0	0	0	6,6	0	0	0	228	0	0	0	0	0	0	 
15_02_2023__09_34_50_sitzen_gehen_sitzen_3	28,06	0	0	0	8,11	0	0	0	207	0	0	0	0	0	0	 
15_02_2023__09_36_34_sitzen_gehen_sitzen_4	24,75	0	0	0	6,04	0	0	0	229	0	0	0	0	0	0	 
15_02_2023__09_38_17_sitzen_gehen_sitzen_5	28,21	0	0	0	7,98	0	0	0	245	0	0	0	0	0	0	 
15_02_2023__09_42_22_sitzen_gehen_sitzen_6	32,23	0	0	0	7,48	0	0	0	216	0	0	0	0	0	0	 
15_02_2023__09_45_42_sitzen_gehen_sitzen_7	36,39	0	0	0	2,41	1	2318	2318	299	0	0	0	0	0	0	 
15_02_2023__09_47_06_sitzen_gehen_sitzen_8	32,22	0	0	0	4,06	0	0	0	300	0	0	0	0	0	0	 
15_02_2023__09_49_35_sitzen_gehen_sitzen_9	59,17	6	2346	2351	1,19	9	722	2360	308	1	2358	2358	1	2246	2446	 
15_02_2023__09_51_11_sitzen_gehen_sitzen_10	92,72	8	2356	2373	1,47	5	2322	2327	577	4	2358	2366	0	0	0	 
26_01_2023__10_25_20_umfallen_hinten_1	93,92	11	505	516	1,05	1	490	490	498	7	505	511	1	405	605	 
26_01_2023__10_28_17_umfallen_hinten_2	77,63	12	506	517	0,84	6	486	491	339	5	507	1075	1	406	606	 
26_01_2023__10_29_12_umfallen_hinten_3	84,13	9	603	611	0,75	5	584	588	317	2	606	607	1	503	703	 
26_01_2023__10_30_14_umfallen_hinten_4	72,8	8	652	659	1,97	5	626	634	346	3	654	656	1	552	752	 
26_01_2023__10_31_04_umfallen_hinten_5	78,74	10	612	622	0,48	4	597	600	409	5	614	618	1	512	712	 
26_01_2023__10_32_07_umfallen_hinten_6	79,81	10	543	552	1,14	3	529	531	412	4	545	548	1	443	643	 
26_01_2023__10_33_07_umfallen_hinten_7	66,51	8	1097	1105	1,82	2	1082	1083	189	0	0	0	1	997	1197	 
26_01_2023__10_34_13_umfallen_hinten_8	87,36	9	595	603	1,13	3	577	579	368	1	599	599	1	495	695	 
26_01_2023__10_49_52_umfallen_hinten_9	82,94	9	507	515	1,27	6	491	497	443	2	512	513	1	407	607	 
26_01_2023__10_50_34_umfallen_hinten_10	96,68	9	641	649	2,19	3	622	624	477	5	644	648	1	541	741	 
26_01_2023__10_52_16_zusammensacken_1	60,28	5	576	585	2,84	0	0	0	605	40	542	601	0	0	0	 
26_01_2023__10_53_33_zusammensacken_2_herzinfarkt	60,5	2	523	524	2,34	1	436	436	629	10	498	525	0	0	0	 
26_01_2023__10_54_39_zusammensacken_3	62,78	8	529	539	2,47	1	490	490	844	22	517	542	0	0	0	 
26_01_2023__10_55_54_zusammensacken_4	72,81	6	549	554	2,25	2	502	530	905	44	491	564	1	449	649	 
26_01_2023__10_56_59_umfallen_vorne_1	69,21	7	524	534	2,42	1	505	505	1336	17	515	533	1	424	624	 
26_01_2023__10_58_28_lirgestütz_1	41,76	0	0	0	1,66	7	359	768	272	0	0	0	0	0	0	 
